Cluster,mat_file_name,X_c,Y_c,lon_c,lat_c,road,suburb,city,county,state,postcode,site name
Cluster 19441,0.2_2.8__TMCMC_2000.mat,1571928.3887120336,5181495.219473336,172.65266101323738,-43.51895229,Avalon Street,Richmond,Christchurch,Christchurch City,Canterbury,8013,Richmond_Avalon Street
Cluster 19526,0.5_3__TMCMC_2000.mat,1574698.3748809271,5182614.851984064,172.68698651373955,-43.50896994,Breezes Road,Avondale,Christchurch,Christchurch City,Canterbury,8061,Avondale_Breezes Road
Cluster 19536,4_5.5__TMCMC_2000.mat,1573537.1538727528,5186196.127349661,172.67279509057497,-43.47668332,N/A,Burwood,Christchurch,Christchurch City,Canterbury,N/A,Burwood_N/A
Cluster 19546,4_7.5__TMCMC_2000.mat,1569981.1378912302,5181162.397630472,172.62854915635296,-43.52187332,Victoria Street,Central City,Christchurch,Christchurch City,Canterbury,8013,Central City_Victoria Street
Cluster 19585,10.5_15__TMCMC_2000.mat,1573163.478830996,5182616.279447893,172.66799826022313,-43.50890353,Bampton Street,Dallington,Christchurch,Christchurch City,Canterbury,8640,Dallington_Bampton Street
Cluster 19589,2.1_5.9__TMCMC_2000.mat,1574426.7868364416,5182561.7963472735,172.68362417692424,-43.50943841,Avonside Drive,Avondale,Christchurch,Christchurch City,Canterbury,8061,Avondale_Avonside Drive
Cluster 19589,2.1_5.9__TMCMC_2000_old.mat,1574426.7868364416,5182561.7963472735,172.68362417692424,-43.50943841,Avonside Drive,Avondale,Christchurch,Christchurch City,Canterbury,8061,Avondale_Avonside Drive
Cluster 19589,2.1_5.9__TMCMC_2000.mat,1574426.7868364416,5182561.7963472735,172.68362417692424,-43.50943841,Avonside Drive,Avondale,Christchurch,Christchurch City,Canterbury,8061,Avondale_Avonside Drive
Cluster 19589,2.1_5.9__TMCMC_2000_old.mat,1574426.7868364416,5182561.7963472735,172.68362417692424,-43.50943841,Avonside Drive,Avondale,Christchurch,Christchurch City,Canterbury,8061,Avondale_Avonside Drive
Cluster 19629,1_3.5__TMCMC_2000.mat,1571918.2605310653,5182068.121,172.65256529394938,-43.51379344,Slater Street,Richmond,Christchurch,Christchurch City,Canterbury,8013,Richmond_Slater Street
Cluster 19655,0.5_2.6__TMCMC_2000.mat,1567722.442583333,5180765.989916666,172.60057734969575,-43.52534838,Straven Road,Fendalton,Christchurch,Christchurch City,Canterbury,8014,Fendalton_Straven Road
Cluster 19655,0.5_2.6__TMCMC_2000_old.mat,1567722.442583333,5180765.989916666,172.60057734969575,-43.52534838,Straven Road,Fendalton,Christchurch,Christchurch City,Canterbury,8014,Fendalton_Straven Road
Cluster 19655,0.5_2.6__TMCMC_2000.mat,1567722.442583333,5180765.989916666,172.60057734969575,-43.52534838,Straven Road,Fendalton,Christchurch,Christchurch City,Canterbury,8014,Fendalton_Straven Road
Cluster 19655,0.5_2.6__TMCMC_2000_old.mat,1567722.442583333,5180765.989916666,172.60057734969575,-43.52534838,Straven Road,Fendalton,Christchurch,Christchurch City,Canterbury,8014,Fendalton_Straven Road
Cluster 1973,7.1_9.1__TMCMC_2000.mat,1576566.5396221029,5186338.8045903435,172.71025814536935,-43.47549967,Bower Avenue,Parklands,Christchurch,Christchurch City,Canterbury,8083,Parklands_Bower Avenue
Cluster 19803,5.5_10__TMCMC_2000.mat,1576534.6578760738,5181575.378826638,172.70965851873538,-43.51838946,St Heliers Crescent,Aranui,Christchurch,Christchurch City,Canterbury,8061,Aranui_St Heliers Crescent
Cluster 19919,3.5_5.5__TMCMC_2000.mat,1571155.5537169212,5180353.057614097,172.64303802603916,-43.52920697,N/A,Central City,Christchurch,Christchurch City,Canterbury,8011,Central City_N/A
Cluster 19919,3.5_5.5__TMCMC_2000_old.mat,1571155.5537169212,5180353.057614097,172.64303802603916,-43.52920697,N/A,Central City,Christchurch,Christchurch City,Canterbury,8011,Central City_N/A
